,nodeA,nodeB
389,Clinton,Clinton
390,Clinton,Clinton
391,Clinton,Clinton
392,Clinton,Neil Cavuto
393,Cavuto,Clinton
394,Clinton,Trump
395,Chris Matthews,Clinton
396,Clinton,Joe Scarborough
397,Clinton,Donald Trump
398,Clinton,Obama
399,Clinton,George W. Bush
400,Clinton,Matt Lauer
401,Bush,Clinton
402,Bush,Clinton
403,Clinton,Condoleezza Rice
404,Bush,Clinton
405,Bush,Clinton
406,Clinton,Nouri al-Maliki
407,Clinton,Leon Panetta
408,Clinton,Maliki
409,Clinton,Raul Castro
410,Clinton,Salman
411,Clinton,Ronald Reagan
412,Clinton,Reagan
413,Clinton,Helmut Kohl
414,Clinton,Glenn Kessler
415,Clinton,Kessler
416,Clinton,Richard Nixon
417,Clinton,Zhou Enlai
418,Clinton,Mao
419,Clinton,Nixon
420,Clinton,Clinton
421,Clinton,Clinton
422,Clinton,Obama
423,Clinton,Trump
424,Clinton,Clinton
425,Clinton,Moammar Gadhafi
426,Clinton,Lauer
427,Clinton,Ted Cruz
428,Clinton,Gadhafi
429,Clinton,Clinton
430,Clinton,Gadhafi
431,Clinton,Clinton
432,Clinton,Clinton
433,Clinton,Clinton
434,Clinton,Clinton
435,Clinton,Clinton
436,Clinton,Clinton
437,Clinton,Rachel Maddow
438,Clinton,Maddow
439,Clinton,Maddow
440,Clinton,Clinton
441,Clinton,Clinton
442,Clinton,Clinton
443,Clinton,Clinton
444,Clinton,Clinton
445,Clinton,Clinton
446,Clinton,Clinton
447,Clinton,Clinton
448,Clinton,Clinton
449,Clinton,Clinton
450,Clinton,Clinton
451,Trump,Trump
452,Obama,Trump
453,Trump,Trump
454,Clinton,Trump
455,Clinton,Trump
456,Moammar Gadhafi,Trump
457,Clinton,Trump
458,Clinton,Trump
459,Clinton,Trump
460,Matt Lauer,Trump
461,Clinton,Trump
462,Trump,Trump
463,Howard Stern,Trump
464,Trump,Trump
465,Clinton,Trump
466,Clinton,Trump
467,Clinton,Trump
468,Neil Cavuto,Trump
469,Cavuto,Trump
470,Trump,Trump
471,Chris Matthews,Trump
472,Joe Scarborough,Trump
473,Donald Trump,Trump
474,Obama,Trump
475,George W. Bush,Trump
476,Matt Lauer,Trump
477,Bush,Trump
478,Bush,Trump
479,Condoleezza Rice,Trump
480,Bush,Trump
481,Bush,Trump
482,Nouri al-Maliki,Trump
483,Leon Panetta,Trump
484,Maliki,Trump
485,Raul Castro,Trump
486,Salman,Trump
